Wall time,Step,Value
1666490973.666781,54000,-6194.4873046875
1666491030.5579433,54720,-12490.556640625
1666491086.2287593,55440,-10580.39453125
1666491141.6819766,56160,-11943.697265625
1666491193.8149889,56880,-5152.9287109375
1666491249.4396057,57600,-10741.03515625
1666491303.7272253,58320,-7430.6064453125
1666491358.0664887,59040,-8734.19140625
1666491411.7093713,59760,-7514.732421875
1666491464.9073958,60480,-5510.77001953125
1666491517.1807125,61200,-4603.54248046875
1666491573.5642014,61920,-11429.048828125
1666491627.240756,62640,-7187.708984375
1666491682.985832,63360,-9928.0947265625
1666491735.410759,64080,-5089.67822265625
1666491791.5568166,64800,-10438.8466796875
1666491845.881424,65520,-8706.4521484375
1666491899.9510212,66240,-7997.16015625
1666491955.7623768,66960,-11378.669921875
1666492011.5450945,67680,-13497.0625
1666492065.9570727,68400,-8318.646484375
1666492122.9698315,69120,-12238.162109375
1666492179.0153587,69840,-11336.376953125
1666492232.1444066,70560,-6303.015625
1666492286.2319899,71280,-8323.865234375
1666492340.0921938,72000,-6998.01953125
1666492393.194929,72720,-7031.4599609375
1666492451.5093,73440,-17005.650390625
1666492503.5882523,74160,-4812.9228515625
1666492558.774214,74880,-9756.0078125
1666492611.6620462,75600,-6507.75341796875
1666492667.3919365,76320,-10630.36328125
1666492722.5772939,77040,-9376.9375
1666492775.5748608,77760,-6468.470703125
1666492827.5013118,78480,-4334.87353515625
1666492879.7470582,79200,-5813.171875
1666492933.4832518,79920,-7780.93408203125
1666492989.6892285,80640,-12027.5390625
1666493047.153263,81360,-15590.9248046875
1666493103.44649,82080,-11742.0166015625
1666493157.0310102,82800,-7408.8095703125
1666493212.3143032,83520,-10845.9228515625
1666493265.671787,84240,-6646.123046875
1666493321.47539,84960,-11245.056640625
1666493374.2859855,85680,-6013.93994140625
1666493429.5973282,86400,-10743.8037109375
1666493484.215188,87120,-8409.2705078125
1666493538.4743772,87840,-8496.87890625
1666493590.2165334,88560,-4910.47802734375
1666493647.1274648,89280,-13221.0390625
1666493703.082561,90000,-11945.873046875
1666493756.4191756,90720,-7612.154296875
1666493812.5652235,91440,-12179.4384765625
1666493865.63282,92160,-6792.9912109375
